けやき祭準備期間,,,
"校内公開日の当日の朝準備
(8:00集合)",,,体育館MC原稿
体育館で準備,構内公開日の日は、体育館でまずは開会式の行事があります。その準備を行う。前日のエンタメライブである程度準備があるため、再度開会準備ができるか確認する。,,けやき祭_1日目流れ
マイク,マイクを司会台に準備(プロの音響はいるので、学校のマイクではなくプロのマイクを借りるようにする),,校内放送原稿
司会,司会者は原稿を確認し、円滑に進むように準備する・,,
生徒会待機場所設置,スピーカー＆マイクの準備,,
,,,
当日の仕事内容,,,
司会,,,
照明,,,
スクリーン,,,
生徒会待機場所（校内放送）,,,
会長はエール,,,
,,,
"一般公開日の当日の朝準備
(8:00集合)",,,
体育館と中庭の準備,司会の机などの準備と、前庭の生徒会待機テントの準備、アーチの空気をONにする。受付がこの日はあるので、受付のテントの準備。受付用紙、リストバンド、パンフレットを準備しておく。,,
マイク,司会台におく(プロの音響がいるため、そこからマイクを借りる。※学校のマイクは使用しない),,
司会,原稿の確認をしておく,,
校内放送,定期的に前庭放送・校内放送を入れて、体育館で人が集まるように放送を行う。,,
,,,
,,,
当日の仕事内容,,,
体育館での司会,,,
前庭での放送・校内放送,,,
生徒会待機場所での放送,,,
"※担当者
司会1,2年生で運営を行うようにする",,,